timestamp_utc,open,high,low,close,volume,turnover,oi_btc,long_ratio,short_ratio,long_short_ratio,funding_rate,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,basis,premium_pct,oi_usd
2021-11-05 08:00:00+00:00,4534.0,4546.1,4476.75,4478.7,11735.55,52926502.4425,80366.25,0.8203,0.1797,4.564830272676684,0.0002729,4528.83,4544.92,4471.54,4474.75,4528.83,4544.09,4470.93,4474.09,0.6599999999998545,0.0001475160311929028,359618877.1875
2021-11-05 12:00:00+00:00,4478.7,4541.5,4452.9,4466.65,15700.65,70518102.4025,78834.8,0.8189,0.1811,4.521811154058531,0.0002729,4474.75,4534.1,4451.37,4461.52,4474.09,4534.35,4450.94,4461.53,-0.009999999999308784,-2.2413835610897574e-06,351723036.896
2021-11-05 16:00:00+00:00,4466.65,4514.45,4463.95,4499.05,6846.27,30749672.891,79108.24,0.823,0.177,4.649717514124294,0.00026751,4461.52,4510.23,4459.55,4495.6,4461.53,4509.69,4458.22,4495.01,0.5900000000001455,0.00013125666016319107,355639003.7440001
2021-11-05 20:00:00+00:00,4499.05,4499.05,4447.05,4479.9,7096.84,31722588.6905,78730.89999999,0.8233,0.1767,4.659309564233164,0.00026751,4495.6,4496.7,4440.81,4473.77,4495.01,4496.11,4440.21,4473.8,-0.02999999999974534,-6.705708793362542e-06,352223938.49295527
2021-11-06 00:00:00+00:00,4479.9,4513.55,4463.7,4498.1,7418.2,33324630.7535,79064.50999999,0.8253,0.1747,4.724098454493418,0.00026307,4473.77,4509.43,4457.74,4491.83,4473.8,4507.79,4455.9,4490.89,0.9399999999995998,0.00020931263068113442,355144337.95325506
2021-11-06 04:00:00+00:00,4498.1,4518.2,4460.5,4471.95,7629.97,34251581.5105,79917.62,0.825,0.175,4.714285714285714,0.00026307,4491.83,4514.51,4457.21,4470.39,4490.89,4514.01,4457.02,4470.92,-0.5299999999997453,-0.00011854383437854968,357262929.2718
2021-11-06 08:00:00+00:00,4471.95,4497.05,4340.65,4374.5,25356.54,111840339.757,80539.14,0.8268,0.1732,4.773672055427252,0.00041815,4470.39,4497.77,4341.82,4370.57,4470.92,4494.96,4340.01,4369.14,1.4299999999993815,0.00032729553184365377,352001949.1098
2021-11-06 12:00:00+00:00,4374.5,4410.0,4321.4,4401.9,14791.16,64665116.2205,81828.95,0.8313,0.1687,4.927682276229994,0.00041815,4370.57,4409.85,4327.65,4398.08,4369.14,4409.47,4326.21,4398.08,0.0,0.0,359890268.416
2021-11-06 16:00:00+00:00,4401.9,4500.0,4385.0,4498.65,11909.82,52860439.183,81379.91,0.8299,0.1701,4.878894767783656,0.00066131,4398.08,4494.88,4383.52,4494.38,4398.08,4494.5,4382.41,4493.76,0.6199999999998909,0.00013796909492271302,365752239.90580004
2021-11-06 20:00:00+00:00,4498.65,4538.55,4484.0,4521.0,10392.42,46866462.7115,80097.42,0.8347,0.1653,5.049606775559589,0.00066131,4494.38,4529.85,4480.74,4517.32,4493.76,4529.79,4480.18,4517.37,-0.0500000000001819,-1.1068387136803471e-05,361825677.31439996
2021-11-07 00:00:00+00:00,4521.0,4574.35,4507.4,4551.9,12330.32,56054814.9615,79339.12,0.831,0.169,4.917159763313609,0.00027551,4517.32,4570.9,4503.45,4550.54,4517.37,4570.2,4502.5,4550.04,0.5,0.00010988914383170257,361035839.12479997
2021-11-07 04:00:00+00:00,4551.9,4570.0,4541.2,4543.35,6035.96,27476774.576,77897.08,0.8303,0.1697,4.892751915144373,0.00027551,4550.54,4570.13,4537.96,4541.05,4550.04,4569.68,4537.32,4541.06,-0.010000000000218279,-2.2021290183829936e-06,353734535.134
2021-11-07 08:00:00+00:00,4543.35,4620.0,4522.0,4596.25,21679.0,99344668.529,78218.72,0.8207,0.1793,4.577244841048523,0.00022506,4541.05,4616.78,4519.55,4592.17,4541.06,4616.45,4518.99,4592.36,-0.18999999999959982,-4.137306308730148e-05,359193659.4224
2021-11-07 12:00:00+00:00,4596.25,4629.0,4576.1,4608.4,11098.02,51113584.8285,80174.12,0.8182,0.1818,4.500550055005501,0.00022506,4592.17,4624.61,4574.59,4604.1,4592.36,4624.6,4574.34,4603.82,0.28000000000065484,6.0819058955531465e-05,369129665.892
2021-11-07 16:00:00+00:00,4608.4,4619.55,4592.5,4606.7,8766.17,40380677.5595,79283.78,0.809,0.191,4.235602094240838,0.0001,4604.1,4618.31,4588.53,4603.34,4603.82,4618.03,4588.01,4603.11,0.23000000000047294,4.996621849151399e-05,364970195.8252
2021-11-07 20:00:00+00:00,4606.7,4644.45,4588.4,4614.85,10027.86,46309266.1965,79400.42,0.806,0.194,4.154639175257732,0.0001,4603.34,4634.99,4587.86,4612.72,4603.11,4637.67,4587.57,4612.72,0.0,0.0,366251905.3424
2021-11-08 00:00:00+00:00,4614.85,4744.15,4614.8,4723.15,25667.97,120350064.426,79822.67,0.8063,0.1937,4.162622612287041,0.0001,4612.72,4736.47,4612.72,4720.76,4612.72,4737.03,4612.59,4720.52,0.23999999999978172,5.084185640560398e-05,376823667.6292
2021-11-08 04:00:00+00:00,4723.15,4776.9,4711.25,4727.65,13480.13,63865310.7975,79248.03999999,0.8072,0.1928,4.186721991701245,0.0001,4720.76,4765.22,4709.93,4722.66,4720.52,4765.61,4709.68,4723.27,-0.6100000000005821,-0.0001291478149672964,374261548.58635277
2021-11-08 08:00:00+00:00,4727.65,4744.75,4712.0,4732.35,9890.29,46776262.405,78868.19,0.8094,0.1906,4.246589716684156,0.0001,4722.66,4741.45,4711.08,4730.42,4723.27,4740.85,4710.42,4730.06,0.3599999999996726,7.610897113348934e-05,373079663.3398
2021-11-08 12:00:00+00:00,4732.35,4779.75,4704.75,4765.1,18033.45,85460987.5965,78190.96,0.8003,0.1997,4.007511266900351,0.0001,4730.42,4777.22,4706.47,4764.83,4730.06,4777.21,4705.38,4764.32,0.5100000000002183,0.00010704570641775077,372566631.9368
2021-11-08 16:00:00+00:00,4765.1,4796.85,4750.3,4751.65,11575.47,55278898.223,78392.67999999,0.7969,0.2031,3.9236829148202856,0.00015229,4764.83,4794.21,4751.41,4752.27,4764.32,4793.9,4751.16,4752.07,0.2000000000007276,4.208692212040808e-05,372543181.3835525
