symbol,model,horizon,accuracy,balanced_accuracy,precision,recall,f1_score,specificity,roc_auc
ETH,XGBoost,6,0.5188507770172083,0.5165978694716863,0.5132860806677088,0.40210106193604167,0.44897990143919425,0.631094677007331,0.515838469354377
ETH,PCA+HMM,1,0.5257952460469623,0.5100036455033227,0.48712379532822564,0.3545273741660168,0.34726992998182643,0.6654799168406286,0.5227170173551624
ETH,PCA+HMM,3,0.4944224333490555,0.5060467619062924,0.49527362941915243,0.5860631527650755,0.48465502688187145,0.4260303710475093,0.5050509343509392
ETH,PCA+HMM,6,0.5053550340768749,0.5037668379301875,0.47263317738442273,0.4391783782217625,0.40885224470644244,0.5683552976386123,0.5190770222412411
SOL,RF,1,0.5244397715793596,0.5217099743262974,0.5135820813153135,0.40715956851936114,0.45335474602751163,0.6362603801332338,0.5170931330779839
SOL,RF,3,0.5160573186892168,0.5134233991942865,0.5123096708496285,0.33948564086471705,0.4082168025223945,0.687361157523856,0.507744996742281
SOL,RF,6,0.5147154828591239,0.5127994439821323,0.5137131144358431,0.3366782616308743,0.40544963956240165,0.6889206263333904,0.5162653626889372
SOL,SVM,1,0.5123899643350444,0.5036765085132162,0.5076574889452153,0.12689797751181567,0.18542917655044752,0.8804550395146166,0.5054639147503011
SOL,SVM,3,0.5101340879994609,0.5046026477547898,0.5132161688765462,0.12790372264474528,0.20395776735306978,0.8813015728648343,0.510564479585696
SOL,SVM,6,0.5203242467301651,0.5142509710745965,0.6169148141130899,0.09598061635091971,0.15781897377134288,0.9325213257982735,0.5064347263038719
SOL,GRU,1,0.5135001045932972,0.5017017622093155,0.508397722336002,0.07441669589535345,0.12857786045909908,0.9289868285232776,0.5036712437783922
SOL,GRU,3,0.510037199507072,0.5046573639093234,0.5295730782042969,0.09583326027718181,0.1612169010128194,0.9134814675414651,0.49670929140331044
SOL,GRU,6,0.5138751464656796,0.5086168255268774,0.5563973460619969,0.10094924738403,0.1692041334562404,0.9162844036697247,0.4914103637471039
SOL,XGBoost,1,0.5211206629970931,0.5188725260441084,0.5072047442542206,0.45597509506973416,0.48013033443829206,0.5817699570184826,0.5227510207345499
SOL,XGBoost,3,0.5142977786761899,0.5120560474082638,0.5093099853244882,0.37344717064444505,0.430875947436082,0.6506649241720824,0.5116686716315949
SOL,XGBoost,6,0.5125651749743875,0.5115513499738341,0.5101082352274499,0.3690801724386213,0.4261374961724054,0.6540225275090467,0.5157155629514532
SOL,PCA+HMM,1,0.526434329065908,0.518186902524926,0.5395207194944551,0.1967243387230387,0.2826589814193124,0.8396494663268136,0.528300462638494
SOL,PCA+HMM,3,0.5254174247018395,0.521090997646089,0.561529202961414,0.1985978803781835,0.2880752996345104,0.8435841149139947,0.5397228220887776
SOL,PCA+HMM,6,0.5326362553787279,0.5313011009931345,0.5396883068089061,0.40611888484954367,0.4247246593422072,0.6564833171367255,0.5478139931546903
XRP,RF,1,0.5318459191456903,0.5291476865398571,0.5013217548384613,0.4796325737668928,0.4896322112925646,0.5786627993128213,0.5435414382712964
XRP,RF,3,0.5140605978932237,0.511440351318966,0.4944191442856669,0.4391647514909432,0.4649391934234384,0.5837159511469889,0.5185794175493785
XRP,RF,6,0.5307129125419375,0.5272250259852678,0.5044108850663331,0.4582349305852673,0.4798182963079903,0.5962151213852683,0.5361290724724989
XRP,SVM,1,0.5397468406621725,0.5215616567864255,0.5188151150800303,0.24378067388601632,0.33068730822654885,0.7993426396868347,0.5339951988531247
XRP,SVM,3,0.5178170833052579,0.5044863815863864,0.4983186092903962,0.17093102855735146,0.25344746338316887,0.8380417346154213,0.5089339151314934
XRP,SVM,6,0.531896646833708,0.5110674477041296,0.5638231863818105,0.1477506379019236,0.21233385242626399,0.8743842575063357,0.5115074808205528
XRP,GRU,1,0.5375833993922579,0.5150156681510327,0.5237040883314915,0.1498792120018219,0.23276290706380146,0.8801521243002437,0.528226406422062
XRP,GRU,3,0.5278865254097004,0.5143478656572621,0.5371210709320721,0.15724940330216236,0.23919447942158736,0.8714463280123618,0.5133772579642911
XRP,GRU,6,0.5334228999010545,0.5158296615535729,0.5205318161335754,0.19575865755606803,0.27850657766448744,0.8359006655510779,0.5202627320820271
XRP,XGBoost,1,0.5292380481167667,0.5272469609922482,0.49816027156452686,0.4864609797470097,0.49153993383018313,0.5680329422374868,0.5406642254069437
XRP,XGBoost,3,0.5229872200884936,0.5200498416490826,0.5036613853111045,0.4639590354952163,0.48256489395984375,0.576140647802949,0.5223621459017989
XRP,XGBoost,6,0.5194193165737564,0.5173161122714319,0.4914792668632652,0.4770019864829424,0.48388107441363015,0.5576302380599216,0.5285820080644875
XRP,PCA+HMM,1,0.48076050879254534,0.498656154960268,0.46834951200743596,0.7652283861393059,0.5744970576759173,0.23208392378123022,0.4994245505532844
XRP,PCA+HMM,3,0.4900777126429037,0.4962146724644021,0.4789573638376134,0.6940115508983041,0.563548860626966,0.2984177940305,0.4929742560201002
XRP,PCA+HMM,6,0.4860961369399364,0.49471985270187524,0.4677664768021705,0.6302812857709813,0.5345441300141048,0.3591584196327691,0.49033496381465724
DOGE,RF,1,0.5238264580369844,0.521692424028762,0.5111326999614029,0.4641435431947028,0.4829025965773144,0.5792413048628212,0.5301412476320037
DOGE,RF,3,0.5232553960874156,0.5204777581287684,0.5191711389385808,0.4207290581072582,0.4605923516218217,0.6202264581502785,0.5262972112955778
DOGE,RF,6,0.5207476368419492,0.517655856634489,0.5184463013466855,0.3726155988758868,0.4296089720759353,0.6626961143930911,0.5224805953601938
DOGE,SVM,1,0.5192291834168264,0.5119288951084356,0.515310210980314,0.28905095913471507,0.36143601131840786,0.7348068310821563,0.5200183871978313
DOGE,SVM,3,0.5156961570424275,0.5084372805274183,0.5402810076094297,0.2018223570695882,0.27532637243132635,0.8150522039852485,0.5166384347214356
DOGE,SVM,6,0.5079805711608113,0.5020504379104102,0.5044277988008224,0.21117021783745757,0.2754443103675495,0.7929306579833627,0.5137990042970785
DOGE,GRU,1,0.5187084379266306,0.5084168702301947,0.512793931214984,0.19113120717290752,0.2694784886789164,0.825702533287482,0.5095131357761482
DOGE,GRU,3,0.5249420625724217,0.5183761536210238,0.544779839659799,0.22823593788311522,0.3070189373042859,0.8085163693589325,0.5300746363362517
DOGE,GRU,6,0.5173521381595455,0.5117560430253394,0.5167760974430079,0.24332243361737907,0.31526382770435635,0.7801896524332999,0.5132051878788865
DOGE,XGBoost,1,0.5141268270558889,0.512347018550643,0.4988315578133977,0.46697588454105615,0.47947219653998313,0.5577181525602298,0.5202707381118541
DOGE,XGBoost,3,0.5077189317880646,0.5055263977970834,0.4976879862871679,0.43364472078991234,0.46002633070245785,0.5774080748042544,0.5132520605655586
DOGE,XGBoost,6,0.5225569336864252,0.5193418076945086,0.5172149658314058,0.38088558800915245,0.4374415955273068,0.6577980273798645,0.5185587821482869
DOGE,PCA+HMM,1,0.5111014905065248,0.5176169571726008,0.49434959869018646,0.7052335157346995,0.5805672134441046,0.3300003986105021,0.5194557246962771
DOGE,PCA+HMM,3,0.4932661770320958,0.4993171103657894,0.4872068070541116,0.7624939284323174,0.5942762683411826,0.23614029229926145,0.5059263694900706
DOGE,PCA+HMM,6,0.5018147624873882,0.49465044658385754,0.4791051505223174,0.2510716179061221,0.259064540024709,0.7382292752615931,0.49055264572525986
